BifidoAdolescentis.s2#1#35132	sp|B3DRY6|PUR9_BIFLD	85.9	468	545	74	3	1	7004	8629	1	545	2.3e-273	940.6	sp|B3DRY6|PUR9_BIFLD Bifunctional purine biosynthesis protein PurH OS=Bifidobacterium longum (strain DJO10A) OX=205913 GN=purH PE=3 SV=1	4.6
BifidoAdolescentis.s2#1#35132	sp|Q8G6B1|PUR9_BIFLO	85.7	467	545	75	3	1	7004	8629	1	545	8.8e-273	938.7	sp|Q8G6B1|PUR9_BIFLO Bifunctional purine biosynthesis protein PurH OS=Bifidobacterium longum (strain NCC 2705) OX=206672 GN=purH PE=3 SV=1	4.6
BifidoAdolescentis.s2#1#35132	sp|Q8G6A8|DER_BIFLO	86.2	399	463	64	0	0	11543	12931	1	463	1.4e-233	808.5	sp|Q8G6A8|DER_BIFLO GTPase Der OS=Bifidobacterium longum (strain NCC 2705) OX=206672 GN=der PE=3 SV=1	4.0
BifidoAdolescentis.s2#1#35132	sp|A1A1K3|RUVB_BIFAA	100.0	362	362	0	0	0	1252	2337	1	362	7.1e-206	716.5	sp|A1A1K3|RUVB_BIFAA Holliday junction ATP-dependent DNA helicase RuvB OS=Bifidobacterium adolescentis (strain ATCC 15703 / DSM 20083 / NCTC 11814 / E194a) OX=367928 GN=ruvB PE=3 SV=1	3.1
BifidoAdolescentis.s2#1#35132	sp|P59956|TKT_MYCBO	51.5	358	695	315	22	9	30430	32496	20	698	2.8e-202	704.5	sp|P59956|TKT_MYCBO Transketolase OS=Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97) OX=233413 GN=tkt PE=3 SV=1	5.9
BifidoAdolescentis.s2#1#35132	sp|P9WG24|TKT_MYCTO	51.5	358	695	315	22	9	30430	32496	20	698	2.8e-202	704.5	sp|P9WG24|TKT_MYCTO Transketolase OS=Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh) OX=83331 GN=tkt PE=3 SV=1	5.9
BifidoAdolescentis.s2#1#35132	sp|P9WG25|TKT_MYCTU	51.5	358	695	315	22	9	30430	32496	20	698	2.8e-202	704.5	sp|P9WG25|TKT_MYCTU Transketolase OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=tkt PE=1 SV=1	5.9
BifidoAdolescentis.s2#1#35132	sp|A1A1M6|HRCA_BIFAA	100.0	375	375	0	0	0	30037	28913	1	375	1.4e-201	702.2	sp|A1A1M6|HRCA_BIFAA Heat-inducible transcription repressor HrcA OS=Bifidobacterium adolescentis (strain ATCC 15703 / DSM 20083 / NCTC 11814 / E194a) OX=367928 GN=hrcA PE=3 SV=1	3.2
BifidoAdolescentis.s2#1#35132	sp|P46708|TKT_MYCLE	51.8	358	691	312	21	9	30430	32487	20	694	2.0e-200	698.4	sp|P46708|TKT_MYCLE Transketolase OS=Mycobacterium leprae (strain TN) OX=272631 GN=tkt PE=3 SV=1	5.9
BifidoAdolescentis.s2#1#35132	sp|Q8G6B7|RUVB_BIFLO	89.9	313	348	35	0	0	1267	2310	1	348	2.5e-179	628.2	sp|Q8G6B7|RUVB_BIFLO Holliday junction ATP-dependent DNA helicase RuvB OS=Bifidobacterium longum (strain NCC 2705) OX=206672 GN=ruvB PE=3 SV=1	3.0
BifidoAdolescentis.s2#1#35132	sp|B7GR18|RUVB_BIFLS	90.2	312	346	34	0	0	1267	2304	1	346	4.8e-178	624.0	sp|B7GR18|RUVB_BIFLS Holliday junction ATP-dependent DNA helicase RuvB OS=Bifidobacterium longum subsp. infantis (strain ATCC 15697 / DSM 20088 / JCM 1222 / NCTC 11817 / S12) OX=391904 GN=ruvB PE=3 SV=1	3.0
BifidoAdolescentis.s2#1#35132	sp|B3DRY0|RUVB_BIFLD	90.2	305	338	33	0	0	1267	2280	1	338	1.0e-172	606.3	sp|B3DRY0|RUVB_BIFLD Holliday junction ATP-dependent DNA helicase RuvB OS=Bifidobacterium longum (strain DJO10A) OX=205913 GN=ruvB PE=3 SV=1	2.9
BifidoAdolescentis.s2#1#35132	sp|Q9KY50|PUR9_STRCO	59.6	322	540	195	23	6	7010	8629	7	523	4.3e-171	600.9	sp|Q9KY50|PUR9_STRCO Bifunctional purine biosynthesis protein PurH OS=Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145) OX=100226 GN=purH PE=3 SV=1	4.6
BifidoAdolescentis.s2#1#35132	sp|A3Q5N7|PUR9_MYCSJ	58.2	313	538	202	23	7	7019	8629	12	527	6.3e-170	597.0	sp|A3Q5N7|PUR9_MYCSJ Bifunctional purine biosynthesis protein PurH OS=Mycobacterium sp. (strain JLS) OX=164757 GN=purH PE=3 SV=1	4.6
BifidoAdolescentis.s2#1#35132	sp|A1UL88|PUR9_MYCSK	58.4	314	538	201	23	7	7019	8629	12	527	6.3e-170	597.0	sp|A1UL88|PUR9_MYCSK Bifunctional purine biosynthesis protein PurH OS=Mycobacterium sp. (strain KMS) OX=189918 GN=purH PE=3 SV=1	4.6
BifidoAdolescentis.s2#1#35132	sp|Q1B3W0|PUR9_MYCSS	58.4	314	538	201	23	7	7019	8629	12	527	6.3e-170	597.0	sp|Q1B3W0|PUR9_MYCSS Bifunctional purine biosynthesis protein PurH OS=Mycobacterium sp. (strain MCS) OX=164756 GN=purH PE=3 SV=1	4.6
BifidoAdolescentis.s2#1#35132	sp|B2HEC3|PUR9_MYCMM	58.6	315	538	200	23	7	7019	8629	8	523	4.1e-169	594.3	sp|B2HEC3|PUR9_MYCMM Bifunctional purine biosynthesis protein PurH OS=Mycobacterium marinum (strain ATCC BAA-535 / M) OX=216594 GN=purH PE=3 SV=1	4.6
BifidoAdolescentis.s2#1#35132	sp|A0PWC5|PUR9_MYCUA	58.4	314	538	201	23	7	7019	8629	8	523	1.5e-168	592.4	sp|A0PWC5|PUR9_MYCUA Bifunctional purine biosynthesis protein PurH OS=Mycobacterium ulcerans (strain Agy99) OX=362242 GN=purH PE=3 SV=1	4.6
BifidoAdolescentis.s2#1#35132	sp|Q6NID8|PUR9_CORDI	56.5	304	538	215	19	6	7019	8629	6	525	4.5e-168	590.9	sp|Q6NID8|PUR9_CORDI Bifunctional purine biosynthesis protein PurH OS=Corynebacterium diphtheriae (strain ATCC 700971 / NCTC 13129 / Biotype gravis) OX=257309 GN=purH PE=3 SV=1	4.6
BifidoAdolescentis.s2#1#35132	sp|C3PF03|PUR9_CORA7	57.8	310	536	192	34	8	7025	8629	8	510	2.2e-167	588.6	sp|C3PF03|PUR9_CORA7 Bifunctional purine biosynthesis protein PurH OS=Corynebacterium aurimucosum (strain ATCC 700975 / DSM 44827 / CN-1) OX=548476 GN=purH PE=3 SV=1	4.6
BifidoAdolescentis.s2#1#35132	sp|A1SMP8|PUR9_NOCSJ	58.3	313	537	199	25	7	7022	8629	13	525	2.2e-167	588.6	sp|A1SMP8|PUR9_NOCSJ Bifunctional purine biosynthesis protein PurH OS=Nocardioides sp. (strain ATCC BAA-499 / JS614) OX=196162 GN=purH PE=3 SV=1	4.6
BifidoAdolescentis.s2#1#35132	sp|P67542|PUR9_MYCBO	57.8	311	538	204	23	7	7019	8629	8	523	2.9e-167	588.2	sp|P67542|PUR9_MYCBO Bifunctional purine biosynthesis protein PurH OS=Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97) OX=233413 GN=purH PE=3 SV=1	4.6
BifidoAdolescentis.s2#1#35132	sp|A1KH91|PUR9_MYCBP	57.8	311	538	204	23	7	7019	8629	8	523	2.9e-167	588.2	sp|A1KH91|PUR9_MYCBP Bifunctional purine biosynthesis protein PurH OS=Mycobacterium bovis (strain BCG / Pasteur 1173P2) OX=410289 GN=purH PE=3 SV=1	4.6
BifidoAdolescentis.s2#1#35132	sp|C1ALU3|PUR9_MYCBT	57.8	311	538	204	23	7	7019	8629	8	523	2.9e-167	588.2	sp|C1ALU3|PUR9_MYCBT Bifunctional purine biosynthesis protein PurH OS=Mycobacterium bovis (strain BCG / Tokyo 172 / ATCC 35737 / TMC 1019) OX=561275 GN=purH PE=3 SV=1	4.6
BifidoAdolescentis.s2#1#35132	sp|A5U0Z7|PUR9_MYCTA	57.8	311	538	204	23	7	7019	8629	8	523	2.9e-167	588.2	sp|A5U0Z7|PUR9_MYCTA Bifunctional purine biosynthesis protein PurH OS=Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra) OX=419947 GN=purH PE=3 SV=1	4.6
